"","TARGET","ORIG_TRG_STRT","ORIG_TRG_STOP","TARGET_START","TARGET_STOP","TARGET_TEXT","SOURCE","ORIG_SRC_STRT","ORIG_SRC_STOP","SOURCE_START","SOURCE_STOP","SOURCE_TEXT","TYPE","DIFFICULTY","SYMBOL","AUTH","TARGET_KEYS","SOURCE_KEYS","WORDS","SEMANTIC","SYNTACTIC","SOUNDS","TOPIC_CONTENT","TOPIC_CONTEXT","FLAG","NOTES","SECONDARY","ANNOTATOR","SOCIAL_CONTENT","BATTLE_CONTENT","TRAVEL_CONTENT","RITUAL_CONTENT","SPEECH_CONTENT","FAMILY_CONTENT","DESCRIPTION_CONTENT","FATE_CONTENT","SENTIMENT_CONTENT","CHARACTER_CONTENT","SOCIAL_CONTEXT","BATTLE_CONTEXT","TRAVEL_CONTEXT","RITUAL_CONTEXT","SPEECH_CONTEXT","FAMILY_CONTEXT","DESCRIPTION_CONTEXT","FATE_CONTEXT","SENTIMENT_CONTEXT","CHARACTER_CONTEXT","TARGET_LENGTH","SOURCE_LENGTH","SOUNDS_NUMERIC","SYNTACTIC_NUMERIC","TOTAL_CONTENT","TOTAL_CONTEXT"
"1","vergil.aeneid","1_97","1_97","1_97","1_97","Tydide! Mene Iliacis occumbere campis","homer.iliad","21_279","21_279","21_279","21_279","ὥς μ᾽ ὄφελ᾽ Ἕκτωρ κτεῖναι ὃς ἐνθάδε γ᾽ ἔτραφ᾽ ἄριστος:",4,2,"f | [cf.]","Knauer","occumbere me(ne)","κτειναι, μ᾽",0,2,"","","charactertype_hero, fate_death, sentiment_frustration","description_place_specific, sentiment_frustration, battle","0","","","James",0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,2,0,2,0,1,1,0,0,6,5
"2","vergil.aeneid","1_52","1_52","1_52","1_52","Aeoliam -venit-. Hic vasto rex Aeolus antro","homer.iliad","14_230","14_230","14_230","14_230","Λῆμνον δ᾽ -εἰσαφίκανε- πόλιν θείοιο Θόαντος.",4,2,"| < f.  (bold)","Knauer","venit","εισαφικανε",0,1,"","","description_place, travel_arrival","charactertype_divine_specificindividual, travel_by-air","","","","James",0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,0,0,4,5
"3","vergil.aeneid","1_50","1_50","1_50","1_50","Talia flammato secum dea corde volutans","homer.iliad","14_225","14_225","14_225","14_225","Ἥρη δ᾽ ἀΐξασα λίπεν ῥίον Οὐλύμποιο,",3,2,"| cf.","Knauer","","",0,0,"","","0","charactertype_divine_specificindividual","","There's no actual parallel here. I know the circumstances are similar but that's all.","","James",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3
"4","vergil.aeneid","1_126","1_126","1_126","1_126","-stagna- refusa vadis, graviter commotus; et alto","homer.iliad","13_15","13_15","13_15","13_15","ἔνθ᾽ ἄρ᾽ ὅ γ᾽ ἐξ -ἁλὸς- ἕζετ᾽ ἰών, ἐλέαιρε δ᾽ Ἀχαιοὺς",3,3,"f | cf.","Knauer","stagna","αλος",0,1,"","","description_place","charactertype_divine_specificindividual, fate_divineintervention","","","","James",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,2,5
"5","vergil.aeneid","1_42","1_42","1_42","1_42","-Ipsa-, Iovis rapidum iaculata e nubibus ignem,","homer.iliad","15_229","15_229","15_229","15_229","ἀλλὰ -σύ- γ᾽ ἐν χείρεσσι λάβ᾽ αἰγίδα θυσσανόεσσαν,",2,1,"| []","Knauer","","",0,0,"","","charactertype_divine, speeches-and-deliberation, description_object","fate_divineintervention","","I have no idea if this is really description_object. They're both scenes of borrowing something–does that need a tag?","","James",0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,5,2
"6","vergil.aeneid","1_25","1_25","1_25","1_25","necdum etiam causae irarum -saevi-que -dolores-","homer.iliad","4_169","4_169","4_169","4_169","ἀλλά μοι -αἰνὸν- -ἄχος- σέθεν ἔσσεται ὦ Μενέλαε",2,1,"b | [ (etc.)]","Knauer","saevi(que), dolores","αχος, αινον",0,2,"","","sentiment_anger, sentiment_sadness","battle","","","","James",0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1
"7","vergil.aeneid","1_99","1_99","1_99","1_99","saevus ubi -Aeacidae- -telo- iacet Hector, ubi ingens","homer.iliad","22_319","22_319","22_319","22_319","ὣς -αἰχμῆς- ἀπέλαμπ᾽ εὐήκεος, ἣν ἄρ᾽ -Ἀχιλλεὺς-",5,1,"f | [cf. . ]","Knauer","Aeacidae, telo","αἰχμης, Αχιλλευς",0,2,"","","fate_death, charactertype_hero_specificindividual, description_object","battle_aresteai-andor-duels","","These words relate directly to the topic","","James",0,0,0,0,0,0,2,2,0,3,0,2,0,0,0,0,0,0,0,0,1,1,0,0,7,2
"8","vergil.aeneid","1_93","1_93","1_93","1_93","-ingemit-, et duplicis -tendens- ad sidera -palmas-","homer.iliad","3_275","3_275","3_275","3_275","τοῖσιν δ᾽ Ἀτρεΐδης μεγάλ᾽ -εὔχετο- -χεῖρας- -ἀνασχών-:",2,3,"b | [cf. – ]","Knauer","tendens, palmas","χειρας, ανασχων",0,2,"","","description_gesture","ritual_prayer, charactertype_hero, speeches-and-deliberation","","Worth looking up on JSTOR","","James",0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,2,1,1,0,0,1,5
"9","vergil.aeneid","1_110","1_110","1_110","1_110","dorsum immane mari summo; -tris- Eurus ab alto","homer.iliad","6_435","6_435","6_435","6_435","-τρὶς- γὰρ τῇ γ᾽ ἐλθόντες ἐπειρήσανθ᾽ οἱ ἄριστοι",2,2,"bf | []","Knauer","tris","τρις",0,1,"","","charactertype_hero","charactertype_divine, fate_death, sentiment_frustration","","","","James",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,1,1,0,0,2,6
"10","vergil.aeneid","1_130","1_130","1_130","1_130","nec -latuere- doli fratrem Iunonis et irae.","homer.iliad","23_323","23_323","23_323","23_323","αἰεὶ τέρμ᾽ ὁρόων στρέφει ἐγγύθεν, οὐδέ ἑ -λήθει-",2,4,"| [cf. – ]","Knauer","latuere","ληθει",NA,0,"","","0","0","","","","James",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"11","vergil.aeneid","1_48","1_48","1_48","1_48","bella gero! Et quisquam -numen- Iunonis -adoret-","homer.iliad","7_446","7_450","7_446","7_450","‘Ζεῦ πάτερ, ἦ ῥά -τίς- ἐστι βροτῶν ἐπ᾽ ἀπείρονα γαῖαν -ὅς τις- ἔτ᾽ -ἀθανάτοισι- νόον καὶ μῆτιν ἐνίψει; οὐχ ὁράᾳς ὅτι δ᾽ αὖτε κάρη κομόωντες Ἀχαιοὶ τεῖχος ἐτειχίσσαντο νεῶν ὕπερ, ἀμφὶ δὲ τάφρον 450ἤλασαν, οὐδὲ -θεοῖσι- -δόσαν- κλειτὰς ἑκατόμβας;",3,2,"f. | cf.","Knauer","numen, adoret","τις, ὄς τις, αθανατοισι, θεοισι, δοσαν",0,5,"","","charactertype_divine, sentiment_frustration, sentiment_pride, speeches-and-deliberation","","","Different words than Tess","","James",0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,6,0
"12","vergil.aeneid","1_130","1_130","1_130","1_130","nec latuere doli fratrem -Iunonis- et irae.","homer.iliad","1_536","1_536","1_536","1_536","ὣς ὃ μὲν ἔνθα καθέζετ᾽ ἐπὶ θρόνου: οὐδέ μιν -Ἥρη-",2,2,"| [cf. f.]","Knauer","Ionis","Ἡρα",0,1,"","","charactertype_divine","speeches-and-deliberation_disagreement, sentiment_anger","","","","James",0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,1,1,0,0,2,4
"13","vergil.aeneid","1_9","1_9","1_9","1_9","quidve -dolens-, regina deum tot volvere casus","homer.iliad","18_119","18_119","18_119","18_119","ἀλλά ἑ μοῖρα δάμασσε καὶ -ἀργαλέος- χόλος -Ἥρης-.",3,2,"a | [cf.]","Knauer","dolens","αργαλεος",0,2,"","","sentiment_anger, charactertype_divine,","charactertype_hero, fate_divineintervention","","","","James",0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,2,1,1,0,0,4,4
"14","vergil.aeneid","1_65","1_65","1_65","1_65","Aeole, namque -tibi- divom pater atque hominum rex","homer.iliad","24_334","24_334","24_334","24_334","‘Ἑρμεία, -σοὶ- γάρ τε μάλιστά γε φίλτατόν ἐστιν",2,1,"a | []","Knauer","tibi","σοι",0,1,"direct_address","","description_character, charactertype_divine,","fate_divineintervention","","","","James",0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,1,4,2
